2016/05/16,5117
2016/05/17,5215
2016/05/18,5262
2016/05/19,5259
2016/05/20,5248
2016/05/23,5242
2016/05/24,5169
2016/05/25,5234
2016/05/26,5269
2016/05/27,5284
2016/05/30,5349
2016/06/01,5290
2016/06/02,5279
2016/06/03,5275
2016/06/06,5179
2016/06/07,5275
2016/06/08,5305
2016/06/09,5377
2016/06/10,5363
2016/06/13,5230
2016/06/14,5188
2016/06/15,5167
2016/06/16,5088
2016/06/17,4944
2016/06/20,5086
2016/06/21,5095
2016/06/22,5109
2016/06/23,5074
2016/06/24,4937
2016/06/27,4853
2016/06/28,4793
2016/06/29,4915
2016/06/30,5009
2016/07/01,4959
2016/07/04,4998
2016/07/05,4990
2016/07/06,4759
2016/07/07,4775
2016/07/08,4617
2016/07/11,4650
2016/07/12,4687
2016/07/13,4906
2016/07/14,4801
2016/07/15,4890
2016/07/19,4876
2016/07/20,4826
2016/07/21,4863
2016/07/22,4750
2016/07/25,4769
2016/07/26,4645
2016/07/27,4637
2016/07/28,4554
2016/07/29,4504
2016/08/01,4443
2016/08/02,4350
2016/08/03,4293
2016/08/04,4391
2016/08/05,4414
2016/08/08,4479
2016/08/09,4535
2016/08/10,4470
2016/08/12,4539
2016/08/15,4568
2016/08/16,4630
2016/08/17,4646
2016/08/18,4636
2016/08/19,4724
2016/08/22,4730
2016/08/23,4629
2016/08/24,4670
2016/08/25,4616
2016/08/26,4637
2016/08/29,4680
2016/08/30,4650
2016/08/31,4667
2016/09/01,4560
2016/09/02,4505
2016/09/05,4570
2016/09/06,4556
2016/09/07,4490
2016/09/08,4545
2016/09/09,4674
2016/09/12,4605
2016/09/13,4580
2016/09/14,4551
2016/09/15,4486
2016/09/16,4486
2016/09/20,4487
2016/09/21,4503
2016/09/23,4565
2016/09/26,4478
2016/09/27,4502
2016/09/28,4448
2016/09/29,4587
2016/09/30,4631
2016/10/03,4662
2016/10/04,4723
2016/10/05,4761
2016/10/06,4850
2016/10/07,4892
2016/10/11,4931
2016/10/12,4893
2016/10/13,4889
2016/10/14,4892
2016/10/17,4905
2016/10/18,4871
2016/10/19,4879
2016/10/20,4919
2016/10/21,4883
2016/10/24,4894
2016/10/25,4919
2016/10/26,4863
2016/10/27,4847
2016/10/28,4917
2016/10/31,4862
2016/11/01,4729
2016/11/02,4710
2016/11/04,4545
2016/11/07,4547
2016/11/08,4610
2016/11/09,4497
2016/11/10,4684
2016/11/11,4674
2016/11/14,4628
2016/11/15,4647
2016/11/16,4811
2016/11/17,4760
2016/11/18,4822
2016/11/21,4902
2016/11/22,5040
2016/11/24,5119
2016/11/25,5180
2016/11/28,5061
2016/11/29,5070
2016/11/30,4967
2016/12/01,5278
2016/12/02,5354
2016/12/05,5390
2016/12/07,5407
2016/12/08,5342
2016/12/09,5407
